x=13.689; y=-1.035; t=22.524; error=0.0;
x=12.369933858257642; y=-0.782318623667799; t=24.0; error=0.0003254163053131933;
x=12.349932231558833; y=-0.7773251349673547; t=24.021; error=0.00033212243015914454;
x=12.329930593908594; y=-0.7713305965106818; t=24.042; error=0.00033780357961275863;
x=12.30492943361323; y=-0.7673378551109027; t=24.071; error=0.0003451458979978767;
x=12.278927382686394; y=-0.7613467494034188; t=24.1; error=0.00035427167965651555;
x=12.248925986981352; y=-0.7563551308533447; t=24.136; error=0.0003627614228757961;
x=12.217924515416646; y=-0.7503627389416909; t=24.172; error=0.00037050973285884554;
x=12.182923454664001; y=-0.7453701698445612; t=24.214; error=0.0003780011934975528;
x=12.146922111140356; y=-0.7393782365595123; t=24.256; error=0.0003861729786099078;
x=12.106920319589793; y=-0.7333901924092494; t=24.304; error=0.00039824500499874375;
x=12.066919088405207; y=-0.7273984060548148; t=24.352; error=0.0004065391379498854;
x=12.02291816781368; y=-0.721405160932331; t=24.405; error=0.0004133423373006695;
x=11.979917116209293; y=-0.7154127022618961; t=24.458; error=0.00042094284616346704;
x=11.935916352621808; y=-0.7094183045675255; t=24.511; error=0.0004265859762007455;
x=11.891914939520039; y=-0.7034286764448887; t=24.564; error=0.0004370340715020334;
x=11.848914236515817; y=-0.6974337168000965; t=24.615; error=0.0004421149600558084;
x=11.804913580982717; y=-0.6924394888660177; t=24.666; error=0.00044790480004312056;
x=11.761912892854888; y=-0.6854437172478807; t=24.716; error=0.00045218652213049887;
x=11.718912515098477; y=-0.681447780210583; t=24.765; error=0.00045624634243368085;
x=11.676912502052954; y=-0.6754478715299624; t=24.811; error=0.000456338468779611;
x=11.635912549028628; y=-0.6704474863444879; t=24.857; error=0.0004559514238346793;
x=11.594912587751947; y=-0.6654471688235154; t=24.901; error=0.0004556323713629545;
x=11.55391266324527; y=-0.6614463950924901; t=24.944; error=0.0004548585355096215;
x=11.516912624359186; y=-0.656446682857936; t=24.979; error=0.00045514841335693484;
