x=13.689; y=-1.035; t=22.524; error=0.0;
x=12.348434280641316; y=-0.7766176208658563; t=24.021; error=0.0016117353729400892;
x=12.328290180283638; y=-0.7705698961047184; t=24.042; error=0.0017630861644280778;
x=12.302770309994603; y=-0.766482807525514; t=24.071; error=0.00228888741003803;
x=12.276559744517384; y=-0.7604307612199839; t=24.1; error=0.0025057692649391376;
x=12.246751925347604; y=-0.7554601264940175; t=24.136; error=0.0023119911429777475;
x=12.215942676580354; y=-0.7494929395869667; t=24.172; error=0.0021188888398137526;
x=12.18079804308777; y=-0.744466615438303; t=24.214; error=0.0022656375116018104;
x=12.144522010885016; y=-0.7384149622736849; t=24.256; error=0.0025461145290801963;
x=12.104688627817296; y=-0.7324334389890285; t=24.304; error=0.002379796786729184;
x=12.064346861784037; y=-0.7263788696511585; t=24.352; error=0.002724875282147487;
x=12.021023387305336; y=-0.7204670394455901; t=24.405; error=0.0020472041171469084;
x=11.977761924988084; y=-0.7144248826645833; t=24.458; error=0.0023107876813899366;
x=11.933822096753879; y=-0.7084244906272315; t=24.511; error=0.0022526592258060806;
x=11.89017079003092; y=-0.7024612585898854; t=24.564; error=0.0019068957543482486;
x=11.845838598212467; y=-0.6962630053157548; t=24.615; error=0.0032461704247967655;
x=11.801717692107449; y=-0.691234953613532; t=24.666; error=0.0033702879810114596;
x=11.758119259453819; y=-0.684121352827448; t=24.716; error=0.003978965699853391;
x=11.71493114179656; y=-0.680085366065158; t=24.765; error=0.0041703911464584225;
x=11.673583611416806; y=-0.6741583453948776; t=24.811; error=0.0035185356933957754;
x=11.633582825590624; y=-0.6692548064596928; t=24.857; error=0.002529435814140049;
x=11.593739212852682; y=-0.664368212923897; t=24.901; error=0.001410226627309841;
x=11.55300656728999; y=-0.6603648706239209; t=24.944; error=0.0011791089320649217;
x=11.51668905183997; y=-0.6554302215212063; t=24.979; error=0.0006491042082147755;
x=11.479420447435537; y=-0.6513703006678556; t=25.014; error=0.0008558051319543934;
x=11.446818504940836; y=-0.6473909947425786; t=25.043; error=0.0006354745156712144;
x=11.413734145553164; y=-0.6433513165244455; t=25.072; error=0.0007010483851773245;
x=11.386008330385227; y=-0.63936668259404; t=25.095; error=0.0006333721907457185;
x=11.358362809410616; y=-0.6353931377402735; t=25.117; error=0.0007070448859243455;
x=11.33424672346566; y=-0.6313527157169748; t=25.134; error=0.0006927116366559007;
x=11.3091593140823; y=-0.6273174357821637; t=25.152; error=0.0007009100429370785;
x=11.288975091272548; y=-0.6242725592602683; t=25.163; error=0.000727867072015732;
x=11.268937177810079; y=-0.6182432518779122; t=25.175; error=0.0007593512677476318;
x=11.248939836073397; y=-0.6152272340145587; t=25.187; error=0.000775104487355986;
x=11.229003231415394; y=-0.6092287343697551; t=25.199; error=0.0007712723996374314;
x=11.209674582376447; y=-0.6051427171496546; t=25.211; error=0.0009169681102500654;
x=11.189801020780981; y=-0.5981686547708791; t=25.222; error=0.0008548260756335492;
x=11.169763972530152; y=-0.5941446281484773; t=25.234; error=0.0008873387013424027;
x=11.149776462609479; y=-0.5861314166016989; t=25.246; error=0.0008968868851563368;
x=11.130860784579642; y=-0.581137651606897; t=25.258; error=0.0008735134139511917;
x=11.111950830526048; y=-0.5731582612105574; t=25.27; error=0.0008431736635005925;
x=11.093343240675935; y=-0.5672659163018086; t=25.281; error=0.0008103659898877642;
x=11.07465353333649; y=-0.5583953079848409; t=25.293; error=0.0008903697294383937;
x=11.056644904656292; y=-0.551375355535486; t=25.305; error=0.0008978210972992737;
x=11.039377657620937; y=-0.5432327670949886; t=25.316; error=0.000855144203736738;
x=11.02346351177604; y=-0.5352602042350122; t=25.328; error=0.0008730068387027575;
x=11.00732199817461; y=-0.5261641841787696; t=25.339; error=0.0008956957694841578;
x=10.992517476771026; y=-0.5182536475954392; t=25.35; error=0.0009081982825043604;
x=10.977306473094503; y=-0.5101256472751531; t=25.362; error=0.0009265087398946171;
x=10.962376656563423; y=-0.5021475238265186; t=25.373; error=0.0009319795025231763;
x=10.948397064375113; y=-0.4921454782593029; t=25.384; error=0.0009422672249992152;
