x=11.023; y=-0.536; t=25.328; error=0.0;
x=11.007; y=-0.527; t=25.339; error=0.0;
x=10.992; y=-0.519; t=25.35; error=0.0;
x=10.977; y=-0.511; t=25.362; error=0.0;
x=10.962; y=-0.503; t=25.373; error=0.0;
x=10.948; y=-0.493; t=25.384; error=0.0;
x=10.933; y=-0.485; t=25.395; error=0.0;
x=10.919; y=-0.476; t=25.406; error=0.0;
x=10.904; y=-0.467; t=25.417; error=0.0;
x=10.889; y=-0.457; t=25.428; error=0.0;
x=10.874; y=-0.449; t=25.438; error=0.0;
x=10.859; y=-0.439; t=25.449; error=0.0;
x=10.845; y=-0.429; t=25.459; error=0.0;
x=10.83; y=-0.42; t=25.47; error=0.0;
x=10.816; y=-0.41; t=25.48; error=0.0;
x=10.801; y=-0.4; t=25.491; error=0.0;
x=10.787; y=-0.391; t=25.502; error=0.0;
x=10.772; y=-0.381; t=25.512; error=0.0;
x=10.757; y=-0.371; t=25.524; error=0.0;
x=10.742; y=-0.362; t=25.535; error=0.0;
x=10.725; y=-0.353; t=25.546; error=0.0;
x=10.709; y=-0.344; t=25.558; error=0.0;
x=10.691; y=-0.334; t=25.57; error=0.0;
x=10.674; y=-0.326; t=25.582; error=0.0;
x=10.657; y=-0.317; t=25.594; error=0.0;
x=10.639; y=-0.31; t=25.606; error=0.0;
x=10.622; y=-0.301; t=25.619; error=0.0;
x=10.604; y=-0.294; t=25.632; error=0.0;
x=10.587; y=-0.286; t=25.645; error=0.0;
x=10.571; y=-0.28; t=25.658; error=0.0;
x=10.555; y=-0.272; t=25.672; error=0.0;
x=10.54; y=-0.266; t=25.686; error=0.0;
x=10.526; y=-0.259; t=25.702; error=0.0;
x=10.512; y=-0.254; t=25.717; error=0.0;
x=10.499; y=-0.248; t=25.733; error=0.0;
x=10.487; y=-0.242; t=25.749; error=0.0;
x=10.476; y=-0.236; t=25.766; error=0.0;
x=10.465; y=-0.23; t=25.782; error=0.0;
x=10.457; y=-0.224; t=25.799; error=0.0;
x=10.448; y=-0.218; t=25.816; error=0.0;
x=10.441; y=-0.212; t=25.833; error=0.0;
