x=13.689; y=-1.035; t=22.524; error=0.0;
x=13.010514810052936; y=-0.9610734590237838; t=23.325; error=0.0005200246328578878;
x=12.99663406593158; y=-0.9590927330907871; t=23.336; error=0.0006408112293939223;
x=12.982662740914092; y=-0.9580969135770991; t=23.347; error=0.0006697893404936069;
x=12.968528553401983; y=-0.9550709192260685; t=23.357; error=0.0005332900105701838;
x=12.954497434741523; y=-0.954071089395792; t=23.366; error=0.0005024888299924883;
x=12.940729331317426; y=-0.9511231725708028; t=23.375; error=0.0007396591463487637;
x=12.9257891300491; y=-0.9501297637331639; t=23.384; error=0.0007997279917801131;
x=12.91171606947271; y=-0.9471168278004216; t=23.393; error=0.0007255371973233122;
x=12.896830895556628; y=-0.9451349877422683; t=23.403; error=0.0008417892352511891;
x=12.881995857994177; y=-0.9421710399387859; t=23.412; error=0.0010104394119518003;
x=12.866822844885265; y=-0.9401511523397992; t=23.422; error=0.000836612655315383;
x=12.85176937026872; y=-0.937143752840013; t=23.432; error=0.0007826847956874052;
x=12.837852832365703; y=-0.9351585812739563; t=23.443; error=0.0008674509003056669;
x=12.8224502182904; y=-0.932081476187469; t=23.453; error=0.00045753128651120794;
x=12.808374922405227; y=-0.9290682715245416; t=23.464; error=0.00038108766839696707;
x=12.795220401485265; y=-0.9270469019518361; t=23.475; error=0.00022533665434881322;
x=12.78214277029655; y=-0.9240314961247562; t=23.487; error=0.00014620315814560267;
x=12.76911174426022; y=-0.9220289775067209; t=23.499; error=0.00011544035510986077;
x=12.75721142932513; y=-0.9190560145350858; t=23.512; error=0.00021872354163629732;
x=12.74509701947617; y=-0.9160296519287143; t=23.526; error=0.00010144957187108447;
x=12.733141093198102; y=-0.9140389771882815; t=23.54; error=0.00014637797565442804;
x=12.722508401336421; y=-0.9111409926570414; t=23.554; error=0.000527589658934939;
x=12.710639700161423; y=-0.9081759816947808; t=23.57; error=0.0006634650355677794;
x=12.699672881258941; y=-0.9051873623139174; t=23.585; error=0.000698479652753542;
x=12.689022184655222; y=-0.9022850212409385; t=23.602; error=0.0010611779196518646;
x=12.676893488897774; y=-0.8982451100035189; t=23.619; error=0.0009264995004150713;
x=12.666995855490335; y=-0.8952784334910995; t=23.637; error=0.0010340470814206764;
x=12.656145847675726; y=-0.8903499873953731; t=23.654; error=0.0011981060357444267;
x=12.646046002746642; y=-0.8873228432168909; t=23.672; error=0.001094691503884211;
x=12.635929511933078; y=-0.8822681958708185; t=23.69; error=0.0009674303379877585;
x=12.626018728130779; y=-0.879297735114278; t=23.707; error=0.0010613449970271406;
x=12.616550651252789; y=-0.8745669435334561; t=23.724; error=0.0016510433906782441;
x=12.605475720254613; y=-0.8695369810922328; t=23.742; error=0.0015703817890227701;
x=12.595602907476987; y=-0.8646046754497921; t=23.759; error=0.0017131680534509706;
x=12.584728773553644; y=-0.8606548355280542; t=23.775; error=0.0018486393830549185;
x=12.573580485480633; y=-0.8545789461039461; t=23.792; error=0.0016831853569258153;
x=12.561539425683433; y=-0.8495664815776998; t=23.807; error=0.0016403453333628925;
x=12.549520767721797; y=-0.8435619629537936; t=23.823; error=0.001621276295112808;
x=12.537090322783559; y=-0.8383872182138585; t=23.837; error=0.001157040067367026;
x=12.525098737753995; y=-0.8333953357582771; t=23.852; error=0.001167696456202379;
x=12.511129486715335; y=-0.8274143909851348; t=23.866; error=0.00120310437148236;
x=12.497786704706414; y=-0.8222879409361694; t=23.88; error=0.0008377435632792635;
x=12.483954111642532; y=-0.817352949204346; t=23.893; error=0.0010173014141655352;
x=12.470108991368862; y=-0.8124131778606386; t=23.906; error=0.0011834600968069137;
x=12.4550974763726; y=-0.8064143735001335; t=23.92; error=0.001173098370140985;
x=12.439830177247687; y=-0.8013314802931747; t=23.934; error=0.0008939090822565874;
x=12.4241313162942; y=-0.7964318199635361; t=23.949; error=0.0012109273464713064;
x=12.4080079347011; y=-0.7913993320091405; t=23.964; error=0.0010841579290886538;
x=12.390281150670756; y=-0.7874668185967836; t=23.982; error=0.0013635492816479141;
x=12.371129790663314; y=-0.7824341753978098; t=24.0; error=0.0012103450826012252;
x=12.350688986005741; y=-0.7773314057641266; t=24.021; error=0.0007645465954431333;
x=12.330532561094827; y=-0.7712931589892459; t=24.042; error=0.0006079173568004549;
x=12.305684977250953; y=-0.7673279701958744; t=24.071; error=0.0007594460373890055;
x=12.280178423969705; y=-0.7614529230701415; t=24.1; error=0.0012624667757377593;
x=12.251071655977121; y=-0.7566136210542318; t=24.136; error=0.0021606224301658696;
x=12.218730849450006; y=-0.750364941561753; t=24.172; error=0.0008168985629006582;
x=12.184856171369463; y=-0.7455346494187579; t=24.214; error=0.0019316371692922076;
x=12.14820662365394; y=-0.7394350269308433; t=24.256; error=0.0012826492399732612;
x=12.109367753597871; y=-0.7336168930741309; t=24.304; error=0.0024467967151246836;
x=12.069760381358623; y=-0.727681909281681; t=24.352; error=0.0028433616571722393;
x=12.025725979492284; y=-0.7216842472698725; t=24.405; error=0.002810544167716192;
x=11.982920802037768; y=-0.7157193741935485; t=24.458; error=0.003008086397391112;
x=11.939509338752849; y=-0.709812618839254; t=24.511; error=0.0036021948670441053;
x=11.896575783264995; y=-0.7039710676166743; t=24.564; error=0.004677687976379205;
x=11.852402850040129; y=-0.6978210369220493; t=24.615; error=0.0035004985392041318;
x=11.808025787742137; y=-0.6927872118855679; t=24.666; error=0.0031265146750412242;
x=11.76461257795994; y=-0.6857338353566663; t=24.716; error=0.0027136834611759535;
x=11.721369003732585; y=-0.6817272282841209; t=24.765; error=0.002478112116557696;
x=11.679931657697464; y=-0.675825362763889; t=24.811; error=0.003045626462177969;
x=11.63994671847656; y=-0.6709682187629368; t=24.857; error=0.004063746338802419;
x=11.59857852875954; y=-0.6659444042015762; t=24.901; error=0.0037010494969415444;
x=11.55734778805199; y=-0.6619437691724056; t=24.944; error=0.0034782732917106696;
x=11.520321277028154; y=-0.6569563784217467; t=24.979; error=0.00345623216571619;
x=11.483679325382637; y=-0.6530117326862875; t=25.014; error=0.0038158928574862894;
x=11.450194327468811; y=-0.648969310071591; t=25.043; error=0.003338156675905587;
x=11.41748813604763; y=-0.6450203804008001; t=25.072; error=0.003634318264698197;
x=11.390016239592686; y=-0.6411102332493428; t=25.095; error=0.004166869128472026;
x=11.36243346910334; y=-0.6371860349469521; t=25.117; error=0.004589371110039031;
x=11.33808370436709; y=-0.6331410564314306; t=25.134; error=0.004240123953082392;
x=11.313087916809653; y=-0.6291558330105484; t=25.152; error=0.004248177702371503;
x=11.292745002333652; y=-0.626116312561868; t=25.163; error=0.003907837792800746;
x=11.272758291588145; y=-0.6201325981168383; t=25.175; error=0.00392524319702461;
x=11.252753079019017; y=-0.6171440874910067; t=25.187; error=0.003923587428624722;
x=11.232700030003718; y=-0.611141577897156; t=25.199; error=0.003872134052908676;
x=11.21350242762526; y=-0.6071122406083097; t=25.211; error=0.00367478957777853;
x=11.193357641636453; y=-0.6000746486720154; t=25.222; error=0.003525425807914733;
x=11.17313430583532; y=-0.5960421598253588; t=25.234; error=0.003303024397566275;
x=11.153206246619177; y=-0.5880844763198088; t=25.246; error=0.0033846870270692305;
x=11.134356314530269; y=-0.5831358548765323; t=25.258; error=0.0035433054520651553;
x=11.115202784715642; y=-0.5750845890207731; t=25.27; error=0.003381443963564955;
x=11.09595146322158; y=-0.5690176388680825; t=25.281; error=0.0031219743775646146;
x=11.076892546916813; y=-0.5600037372958911; t=25.293; error=0.0030617505164740027;
x=11.059176643797054; y=-0.5531260809136912; t=25.305; error=0.0033703299597435733;
x=11.04224017888864; y=-0.5451688747429421; t=25.316; error=0.0034445649064984486;
x=11.026329830948349; y=-0.5372256150615845; t=25.328; error=0.0035482258135251968;
x=11.010247866608367; y=-0.5281924632073058; t=25.339; error=0.0034598563563427473;
x=10.995409767198122; y=-0.5202902141402209; t=25.35; error=0.0036457049898491667;
x=10.980405955344146; y=-0.5123000519811991; t=25.362; error=0.0036456367016113466;
x=10.965494475101153; y=-0.5043587592911563; t=25.373; error=0.0037493443485336893;
x=10.951520511507246; y=-0.4943900607797603; t=25.384; error=0.00378500597675554;
x=10.936473377999839; y=-0.4863764540020536; t=25.395; error=0.003736171884367109;
x=10.92248022133159; y=-0.47739218891363117; t=25.406; error=0.0037483503689071185;
x=10.907366265899016; y=-0.468335347764453; t=25.417; error=0.0036214499520095377;
x=10.892391466206655; y=-0.4583638916156542; t=25.428; error=0.0036554402429997508;
x=10.877367631667349; y=-0.45036122868550477; t=25.438; error=0.0036323389959046722;
x=10.86227663347207; y=-0.44031244498359573; t=25.449; error=0.0035297080254973927;
x=10.848291800947715; y=-0.43033527534438987; t=25.459; error=0.003552311039972191;
x=10.833068152864348; y=-0.4212130197162115; t=25.47; error=0.0032992391290906507;
x=10.819259509759622; y=-0.4113618610566437; t=25.48; error=0.003532572633459616;
x=10.804304913291519; y=-0.4014047156024381; t=25.491; error=0.0035910552471649414;
x=10.790132604766605; y=-0.3923059449615576; t=25.502; error=0.003393921753129636;
x=10.77513851616304; y=-0.3823228365389069; t=25.512; error=0.0034059037294565525;
x=10.760277318188589; y=-0.3724281608798273; t=25.524; error=0.003574976644388793;
x=10.745209309593823; y=-0.36339950658838494; t=25.535; error=0.0035011836227102724;
x=10.728182345677087; y=-0.3543978589042902; t=25.546; error=0.003475821273423284;
x=10.71204498403059; y=-0.34533229536344967; t=25.558; error=0.0033236935300979035;
x=10.694218103057091; y=-0.33544140342283696; t=25.57; error=0.00352616379560286;
x=10.677139250824409; y=-0.32741616445615446; t=25.582; error=0.0034438956873618196;
x=10.660012444559687; y=-0.31836194267443163; t=25.594; error=0.0033060112028885963;
x=10.641772281804002; y=-0.3112817032087945; t=25.606; error=0.0030542281375558534;
x=10.624710629361093; y=-0.30226198386994324; t=25.619; error=0.002990002478463662;
x=10.606796514867357; y=-0.2953078851282738; t=25.632; error=0.003087241310962291;
x=10.589843722685456; y=-0.2873428789100107; t=25.645; error=0.003144850152031554;
x=10.574089382974417; y=-0.2814458819113777; t=25.658; error=0.0034109913022859935;
