x=13.689; y=-1.035; t=22.524; error=0.0;
x=12.348402225683355; y=-0.7767020205113403; t=24.021; error=0.0016253229040999527;
x=12.328256887842967; y=-0.7706584191592238; t=24.042; error=0.0017762650316837654;
x=12.302736407388933; y=-0.7665751422865784; t=24.071; error=0.0023031186650997815;
x=12.27652508487159; y=-0.7605263755518068; t=24.1; error=0.0025198263850428355;
x=12.24671683344888; y=-0.7555583336480218; t=24.136; error=0.00232549320932616;
x=12.215906818319958; y=-0.7495951049133918; t=24.172; error=0.002131982546087804;
x=12.180761391678358; y=-0.7445743296788774; t=24.214; error=0.002278719473741785;
x=12.144484443200353; y=-0.73852817159921; t=24.256; error=0.002559423382725644;
x=12.104650103756248; y=-0.7325530206825943; t=24.304; error=0.0023920290271205588;
x=12.064307852835666; y=-0.7265016830445069; t=24.352; error=0.002737878036465854;
x=12.020983831471144; y=-0.7205938619493447; t=24.405; error=0.0020566680949874773;
x=11.977721592240977; y=-0.7145572704288563; t=24.458; error=0.002321023780477756;
x=11.933780612242078; y=-0.7085653186108246; t=24.511; error=0.0022615547594761654;
x=11.890127860921634; y=-0.7026126707034915; t=24.564; error=0.0019117867853598175;
x=11.845793974903076; y=-0.6964265470729949; t=24.615; error=0.00325690730319395;
x=11.801671460864032; y=-0.6914126250231035; t=24.666; error=0.0033799677725020274;
x=11.758070459166543; y=-0.6843147875374659; t=24.716; error=0.003988835328842418;
x=11.714880632611738; y=-0.680297129253298; t=24.765; error=0.0041789011672975305;
x=11.673530265192815; y=-0.6743899339077375; t=24.811; error=0.003522959021776777;
x=11.633526420054457; y=-0.6695114162079377; t=24.857; error=0.0025213710295899803;
x=11.59367947952772; y=-0.6646520332168722; t=24.901; error=0.0013655970122519138;
x=11.552943979807498; y=-0.6606778381222164; t=24.944; error=0.0011040683504517225;
x=11.516622887910525; y=-0.6557695824604635; t=24.979; error=0.0004419341246764364;
x=11.479350970922127; y=-0.6517401860292852; t=25.014; error=0.000699100882064971;
x=11.446745725442195; y=-0.6477880350620209; t=25.043; error=0.0003310357770376729;
x=11.413657834974774; y=-0.6437773816720304; t=25.072; error=0.00040821051485165783;
x=11.385928677547975; y=-0.6398160734682018; t=25.095; error=0.00019727103503070596;
x=11.358279760554913; y=-0.6358662281834784; t=25.117; error=0.00031009815700893116;
x=11.334160248429333; y=-0.6318463094958818; t=25.134; error=0.0002220367765931524;
x=11.309069508390687; y=-0.6278317910896986; t=25.152; error=0.00018200454357182122;
x=11.28888274898694; y=-0.6248037771791364; t=25.163; error=0.0002285852040080171;
x=11.268839892989083; y=-0.6187909203797796; t=25.175; error=0.00026334111440527193;
x=11.248840136504363; y=-0.6157909569070715; t=25.187; error=0.00026316411597821675;
x=11.228898703833853; y=-0.6098085271059188; t=25.199; error=0.00021661667166638615;
x=11.209566655707652; y=-0.6057386222372447; t=25.211; error=0.000506068780477512;
x=11.189687376469447; y=-0.5987808745038732; t=25.222; error=0.00038177146947878933;
x=11.169647126277553; y=-0.5947728244654942; t=25.234; error=0.0004196767654653005;
x=11.149653331720362; y=-0.5867753066426173; t=25.246; error=0.0004131174178840918;
x=11.130733721060789; y=-0.5817964617322036; t=25.258; error=0.00033516011087983074;
x=11.111817572400442; y=-0.5738317675594258; t=25.27; error=0.0002481571742708214;
x=11.093205306435431; y=-0.5679542098862642; t=25.281; error=0.00021035081874176643;
x=11.074508788763124; y=-0.5590979646730663; t=25.293; error=0.0005181342322702917;
x=11.056494547871093; y=-0.5520924265483876; t=25.305; error=0.0005031105878934503;
x=11.039220813140572; y=-0.5439636102046124; t=25.316; error=0.00022379155537635183;
x=11.02330046649789; y=-0.5360034368832711; t=25.328; error=0.00030048615362620457;
x=11.007151932393358; y=-0.5269198864494711; t=25.339; error=0.00017176039453204627;
x=10.992341264574243; y=-0.5190208636126095; t=25.35; error=0.00034190174021762263;
x=10.977123834670373; y=-0.5109049009972119; t=25.362; error=0.000156137266267547;
x=10.962187554559277; y=-0.5029388849379608; t=25.373; error=0.00019726064866993782;
x=10.948200096011298; y=-0.4929478431179756; t=25.384; error=0.00020678189978785274;
x=10.9329774431594; y=-0.4848290949302969; t=25.395; error=0.00017238722083744715;
x=10.918938416036989; y=-0.47580400606588963; t=25.406; error=0.00020544149217792545;
x=10.903816330527928; y=-0.46673075476045367; t=25.417; error=0.0003259255651060227;
x=10.88873958945814; y=-0.4566795940472629; t=25.428; error=0.00041288451758420566;
x=10.873802399410692; y=-0.44871309268862347; t=25.438; error=0.0003483702028248245;
x=10.858977756391308; y=-0.4388299973423679; t=25.449; error=0.00017145168920025056;
x=10.845268427872501; y=-0.4290376198289341; t=25.459; error=0.0002710512391855941;
x=10.830468551858363; y=-0.4201576942204521; t=25.47; error=0.0004943766895187949;
x=10.816548965022678; y=-0.41021513219496203; t=25.48; error=0.0005896138205911171;
x=10.801526940573412; y=-0.4002004492287854; t=25.491; error=0.0005637785569071056;
x=10.78759166151933; y=-0.39124205555116126; t=25.502; error=0.0006392607005782897;
x=10.772339913439765; y=-0.38107422349811815; t=25.512; error=0.0003479227992037697;
x=10.75751066998158; y=-0.37118806119266123; t=25.524; error=0.0005441974294976604;
x=10.742462294098393; y=-0.3621590356627488; t=25.535; error=0.0004888846238474731;
x=10.725487062425177; y=-0.35317214830634125; t=25.546; error=0.0005165896295862418;
x=10.709499375747624; y=-0.34417907455021773; t=25.558; error=0.0005305128008364353;
x=10.69149889781342; y=-0.3341788090312147; t=25.57; error=0.000529973299212147;
x=10.674497002296848; y=-0.3261779170234173; t=25.582; error=0.0005278880092350019;
x=10.65760209605963; y=-0.31723355489783134; t=25.594; error=0.0006458076767298979;
x=10.639562935239978; y=-0.310218325690189; t=25.606; error=0.0006037898569915885;
x=10.622644923406925; y=-0.3012617311903374; t=25.619; error=0.000696009638435971;
x=10.604721550389886; y=-0.29429153057259994; t=25.632; error=0.0007782191464532956;
x=10.587670133293429; y=-0.2862673342919138; t=25.645; error=0.0007214889150882678;
x=10.571875503026435; y=-0.280344347941791; t=25.658; error=0.0009407874650063764;
x=10.555882864230616; y=-0.2723480285438817; t=25.672; error=0.000948985309190171;
x=10.540741607577665; y=-0.26629152588270144; t=25.686; error=0.0007968495087132614;
x=10.526681111519958; y=-0.2592612778538472; t=25.702; error=0.0007295060106197372;
x=10.512686068618963; y=-0.2542630482463492; t=25.717; error=0.0007347683511373377;
x=10.499497563868415; y=-0.24817604605378873; t=25.733; error=0.0005277897462115608;
x=10.487366234841101; y=-0.24211038154013173; t=25.749; error=0.0003825075727852177;
x=10.476386913867978; y=-0.23612166100933682; t=25.766; error=0.00040559060939101665;
x=10.46523265995385; y=-0.23003752251072246; t=25.782; error=0.00023566627449958635;
x=10.45750320545138; y=-0.2242404316338693; t=25.799; error=0.0005576944475806828;
x=10.448526882208679; y=-0.2182562161387356; t=25.816; error=0.0005858767545912458;
x=10.44154898403731; y=-0.21227516056327642; t=25.833; error=0.000614082086371524;
x=10.434626624924544; y=-0.2043638930058323; t=25.85; error=0.0007246219122785102;
x=10.429674543833348; y=-0.19941181191463545; t=25.867; error=0.0007903154029523789;
x=10.423673474287867; y=-0.1904102075964134; t=25.884; error=0.0007885669842015849;
x=10.418673528450505; y=-0.1844102725915796; t=25.902; error=0.0007886470522621564;
x=10.413742438804183; y=-0.1755343112281978; t=25.919; error=0.0009147151832865479;
x=10.408693525113245; y=-0.1684658320608843; t=25.936; error=0.000835449933658347;
x=10.403582700462088; y=-0.15824418275857077; t=25.954; error=0.0006317950997758419;
x=10.399402198058796; y=-0.14988317795199035; t=25.971; error=0.00041882056945828937;
x=10.394163731903156; y=-0.13835855240957806; t=25.989; error=0.0006620144616011536;
x=10.388186925654455; y=-0.12939334303652836; t=26.006; error=0.0006348022303223851;
x=10.383350994844882; y=-0.11875429525546818; t=26.022; error=0.0004284485997408285;
x=10.3775725974908; y=-0.10912363299866322; t=26.039; error=0.0005857926295446837;
x=10.371451193391854; y=-0.09790105881726317; t=26.056; error=0.00046191431509939006;
x=10.365385851230863; y=-0.08678126485544646; t=26.072; error=0.0004435383138146122;
x=10.359329493470186; y=-0.07567794229420653; t=26.089; error=0.00046074625636716366;
x=10.353401010552577; y=-0.06480905694525664; t=26.105; error=0.000444149426919925;
x=10.347320279082023; y=-0.05264759400414907; t=26.122; error=0.000476202348055486;
x=10.341194361729366; y=-0.04141674552427744; t=26.138; error=0.000614786357438832;
x=10.334365183517228; y=-0.029709582874898256; t=26.154; error=0.00046658451303887053;
x=10.328277738869273; y=-0.018549267686981136; t=26.17; error=0.000529432240711547;
x=10.321275815006384; y=-0.006545969636313246; t=26.186; error=0.0005312414600691067;
x=10.315269382883088; y=0.005466894610278088; t=26.202; error=0.0005390340571871483;
x=10.309264623181377; y=0.017476414013699048; t=26.218; error=0.0005449731558265063;
x=10.303412854924671; y=0.029179950527112676; t=26.234; error=0.00045036805063502046;
x=10.297281877695179; y=0.04246373452434704; t=26.25; error=0.0005426829130443242;
x=10.29230561621475; y=0.054406762077377074; t=26.265; error=0.0005087795773317703;
x=10.286384951514187; y=0.06723486892859631; t=26.281; error=0.00045094465502408895;
x=10.281453449992538; y=0.07907047258055343; t=26.296; error=0.0004588935392248528;
x=10.275599081363088; y=0.09273066604926958; t=26.312; error=0.0006568403585465088;
x=10.270496879926759; y=0.10497594949645792; t=26.327; error=0.0004974616450910768;
x=10.265439177257525; y=0.11913751697031608; t=26.342; error=0.000460203846845583;
x=10.26038467762129; y=0.13227921602452258; t=26.357; error=0.00047532984407914965;
x=10.254477859047483; y=0.14606179269674094; t=26.372; error=0.0004818377389046183;
x=10.249383898172269; y=0.16032488314734417; t=26.385; error=0.0005029183493363871;
x=10.244404059215132; y=0.1742684322273268; t=26.399; error=0.0004850976293497046;
x=10.239399336437103; y=0.1882816560058124; t=26.412; error=0.000488671357465841;
x=10.234448317965281; y=0.20214450772690895; t=26.425; error=0.0004710323567763483;
x=10.229409886177777; y=0.21725980308941986; t=26.437; error=0.00048528787745556127;
x=10.224534406608571; y=0.23091114588320058; t=26.45; error=0.0005417429993607688;
x=10.218493902715588; y=0.24500565496682497; t=26.462; error=0.0004939350879570367;
x=10.213520038995652; y=0.2589324733826426; t=26.474; error=0.0005244048064723392;
x=10.209438873895671; y=0.2742368425075763; t=26.485; error=0.0004987029874551975;
x=10.204504550960433; y=0.28706608213919715; t=26.496; error=0.0005088600208249386;
x=10.19954478708473; y=0.3009534209911626; t=26.508; error=0.0005467746992613415;
x=10.194500778113968; y=0.3140678443151437; t=26.519; error=0.0005053529168070757;
x=10.190516618878346; y=0.328012401639811; t=26.53; error=0.0005167677100346806;
x=10.185567647793851; y=0.3408797264594997; t=26.541; error=0.0005802497241775512;
x=10.181526802084552; y=0.35502268644204293; t=26.551; error=0.0005272903478552192;
x=10.177548252444273; y=0.3669583353628803; t=26.562; error=0.000549833324416047;
x=10.173620888995371; y=0.3797222665718148; t=26.572; error=0.0006801757138449735;
x=10.169648347469368; y=0.39163989114982883; t=26.582; error=0.0007416419789940789;
x=10.16568958585125; y=0.40450586640870495; t=26.591; error=0.0008483493692414449;
x=10.162759116613637; y=0.4152509202799608; t=26.601; error=0.0010664794700662986;
x=10.158703333717192; y=0.4284322146934062; t=26.61; error=0.0009039128675504279;
x=10.154696204626127; y=0.44045360196660266; t=26.619; error=0.0008850150802903737;
x=10.150744180508227; y=0.45230967432030567; t=26.628; error=0.0010150636299608522;
x=10.146724036811507; y=0.46437010541046336; t=26.638; error=0.0009596856247461025;
x=10.143722912945194; y=0.4763746008757172; t=26.647; error=0.0009558907840235309;
