x=13.689; y=-1.035; t=22.524; error=0.0;
x=12.370639376693878; y=-0.7819675145621052; t=24.0; error=0.0006402014217035024;
x=12.350580294992383; y=-0.7769527441367314; t=24.021; error=0.0005822159348547647;
x=12.330813980156202; y=-0.7710228496858772; t=24.042; error=0.0008143008061127845;
x=12.30555829461246; y=-0.7669819399988784; t=24.071; error=0.0005585866431834152;
x=12.279328741803301; y=-0.7609289662736877; t=24.1; error=0.00033632865401491546;
x=12.248697602467617; y=-0.755823776384407; t=24.136; error=0.0003499986146890959;
x=12.218427765363355; y=-0.7499650982351951; t=24.172; error=0.0004291868349248521;
x=12.183375754591335; y=-0.7449576681249066; t=24.214; error=0.0003781315915900343;
x=12.146580725629375; y=-0.7388251632979131; t=24.256; error=0.0004542673995120654;
x=12.106299161087508; y=-0.732782928616633; t=24.304; error=0.0007336860137274708;
x=12.066833026873914; y=-0.7268630084845936; t=24.352; error=0.00021597847144663626;
x=12.021064685749034; y=-0.7206218710584738; t=24.405; error=0.001971908402135465;
x=11.977088848824772; y=-0.7144857077667163; t=24.458; error=0.002956230313464649;
x=11.933499554358292; y=-0.7085417130667417; t=24.511; error=0.0025420966386688355;
x=11.888171357229343; y=-0.7023605952764306; t=24.564; error=0.0038816676655561606;
x=11.846121940208512; y=-0.6964932347618958; t=24.615; error=0.002922334541070115;
x=11.8022947973475; y=-0.691512877618599; t=24.666; error=0.002748710535060744;
x=11.760709923339359; y=-0.6847432469661111; t=24.716; error=0.001315378238660977;
x=11.716827440707094; y=-0.6806611555584586; t=24.765; error=0.002198824557974578;
x=11.675968373092157; y=-0.6748241458991819; t=24.811; error=0.0010465078794537712;
x=11.635161197281068; y=-0.6698476610441711; t=24.857; error=0.0008525239930637984;
x=11.595489917611323; y=-0.6650097001088362; t=24.901; error=0.0004900136304174477;
x=11.55456527558823; y=-0.6610170521065832; t=24.944; error=0.0005655327267162605;
x=11.51792769965201; y=-0.6560660283314184; t=24.979; error=0.0009300464423292929;
x=11.479915869374466; y=-0.6519566412743866; t=25.014; error=9.4646401091975e-05;
x=11.44620249739852; y=-0.6478701719439691; t=25.043; error=0.0008080010665207052;
x=11.412872407303723; y=-0.6438301610233876; t=25.072; error=0.0011403116094614568;
x=11.385014306544818; y=-0.639850432343544; t=25.095; error=0.0009969764648400572;
x=11.356920003114768; y=-0.6358369604249652; t=25.117; error=0.0010922340294736356;
x=11.33291531300622; y=-0.6318361787402074; t=25.134; error=0.0010969882768903905;
x=11.308152362870757; y=-0.6278741067185334; t=25.152; error=0.0008569351324272896;
x=11.28843252979199; y=-0.6249161317567181; t=25.163; error=0.0005736343079085095;
x=11.268376842789472; y=-0.6188994256559626; t=25.175; error=0.0006312211242598237;
x=11.248312129569939; y=-0.6158897186730327; t=25.187; error=0.0006966546487540447;
x=11.22834292517197; y=-0.6098989573536425; t=25.199; error=0.0006647984250971824;
x=11.209243166907555; y=-0.6058779556137653; t=25.211; error=0.0007666101760557798;
x=11.189297994950834; y=-0.5988971454289138; t=25.222; error=0.0007094999308291483;
x=11.16903964440907; y=-0.5948454753205608; t=25.234; error=0.0009727079405384262;
